衣服類型;尺寸;路徑;空白樣版 ;訂單根位置;裁片轉向;排版檔案;排版位置;排版名稱
釣魚衣;L;H:/杰優、裕豐工廠產品/創作/版型/杰優-R1126-釣魚服-S-5L-AI/裁片;L_套版.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/15;;;;釣魚衣
新圓領T長袖;S;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/裁片;S-新圓領.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-S-新圓領衫長袖.csv;S-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/排版;新圓領衫長袖
新圓領T長袖;M;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/裁片;M-新圓領.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-M-新圓領衫長袖.csv;M-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/排版;新圓領衫長袖
新圓領T長袖;L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/裁片;L-新圓領.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/15;排版-L-新圓領衫長袖.csv;L-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/排版;新圓領衫長袖
新圓領T長袖;XL;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/裁片;XL-新圓領.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/15;排版-XL-新圓領衫長袖.csv;XL-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/排版;新圓領衫長袖
新圓領T長袖;2L;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/裁片;2XL-新圓領.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/15;排版-2L-新圓領衫長袖.csv;2L-新圓領.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/排版;新圓領衫長袖
女版圓領T長袖;M;H:/杰優、裕豐工廠產品/創作/版型/女圓領衫長袖/裁片;M-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-M-女版圓領衫長袖.csv;M-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/排版;女版圓領衫長袖
女版圓領T長袖;L;H:/杰優、裕豐工廠產品/創作/版型/女圓領衫長袖/裁片;L-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/周湘婷/工單/114/裁片輸出;排版-L-女版圓領衫長袖.csv;L-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/排版;女版圓領衫長袖
女版圓領T長袖;XL;H:/杰優、裕豐工廠產品/創作/版型/女圓領衫長袖/裁片;XL-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/15;排版-XL-女版圓領衫長袖.csv;XL-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/排版;女版圓領衫長袖
女版圓領T長袖;2L;H:/杰優、裕豐工廠產品/創作/版型/女圓領衫長袖/裁片;2XL-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/15;排版-2L-女版圓領衫長袖.csv;2XL-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/排版;女版圓領衫長袖
女版圓領T長袖;3L;H:/杰優、裕豐工廠產品/創作/版型/女圓領衫長袖/裁片;3XL-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/阿庚訂單/114/7月/15;排版-3L-女版圓領衫長袖.csv;3XL-新圓領_pegasus.eps;H:/杰優、裕豐工廠產品/創作/版型/2024杰優-Q0419A-新圓領T長袖/排版;女版圓領衫長袖
